
2024/ 5/21, 13:48:35 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/21, 14:49:13 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
0	0	21.000000	13.125000	10101110001100011110
1	0	21.000000	10.500000	10101110001100011110
2	0	21.000000	13.125000	10101110001100011110
3	0	21.000000	15.750000	10101110001100011110
4	0	21.000000	13.125000	10101110001100011110
5	0	21.000000	18.375000	10101110001100011110
6	0	21.000000	15.750000	10101110001100011110
7	0	21.000000	21.000000	10101110001100011110
8	0	21.000000	21.000000	10101110001100011110
9	0	21.000000	15.750000	10101110001100011110
10	0	21.000000	18.375000	10101110001100011110
11	0	21.000000	13.125000	10101110001100011110
12	0	21.000000	15.750000	10101110001100011110
13	0	21.000000	13.125000	10101110001100011110
14	0	21.000000	15.750000	10101110001100011110
15	0	21.000000	13.125000	10101110001100011110
16	0	21.000000	15.750000	10101110001100011110
17	0	21.000000	13.125000	10101110001100011110
18	0	21.000000	15.750000	10101110001100011110
19	0	21.000000	18.375000	10101110001100011110
20	0	21.000000	15.750000	10101110001100011110
21	0	21.000000	7.875000	10101110001100011110
22	0	21.000000	18.375000	10101110001100011110
23	0	21.000000	15.750000	10101110001100011110
24	0	21.000000	21.000000	10101110001100011110
25	0	21.000000	15.750000	10101110001100011110
26	0	21.000000	18.375000	10101110001100011110
27	0	21.000000	13.125000	10101110001100011110
28	0	21.000000	18.375000	10101110001100011110
29	0	21.000000	13.125000	10101110001100011110
30	0	21.000000	15.750000	10101110001100011110
31	0	21.000000	15.750000	10101110001100011110
32	0	21.000000	10.500000	10101110001100011110
33	0	21.000000	10.500000	10101110001100011110
34	0	21.000000	15.750000	10101110001100011110
35	0	21.000000	21.000000	10101110001100011110
36	0	21.000000	15.750000	10101110001100011110
37	0	21.000000	18.375000	10101110001100011110
38	0	21.000000	15.750000	10101110001100011110
39	0	21.000000	15.750000	10101110001100011110
40	0	21.000000	18.375000	10101110001100011110
41	0	21.000000	10.500000	10101110001100011110
42	0	21.000000	15.750000	10101110001100011110
43	0	21.000000	18.375000	10101110001100011110
44	0	21.000000	18.375000	10101110001100011110
45	0	21.000000	13.125000	10101110001100011110
46	0	21.000000	13.125000	10101110001100011110
47	0	21.000000	13.125000	10101110001100011110
48	0	21.000000	18.375000	10101110001100011110
49	0	21.000000	10.500000	10101110001100011110
50	0	21.000000	13.125000	10101110001100011110
51	0	21.000000	15.750000	10101110001100011110
52	0	21.000000	13.125000	10101110001100011110
53	0	21.000000	18.375000	10101110001100011110
54	0	21.000000	15.750000	10101110001100011110
55	0	21.000000	13.125000	10101110001100011110
56	0	21.000000	18.375000	10101110001100011110
57	0	21.000000	18.375000	10101110001100011110
58	0	21.000000	21.000000	10101110001100011110
59	0	21.000000	18.375000	10101110001100011110
60	0	21.000000	18.375000	10101110001100011110
61	0	21.000000	18.375000	10101110001100011110
62	0	21.000000	15.750000	10101110001100011110
